text,true_label,pred_label,correct
Democrats only care about disenfranchisement when it affects them. They couldnt care less about Republicans.,1,1,1
Imagine in terms of nationalism,0,0,1
An immigration hating on immigrants,1,1,1
"Special Elections in the 21st Senate District and 40th Assembly District on February 25! Early voting available February 20 23, 10 AM 6 PM daily",0,0,1
"Lmao imagine thinking that Biden is part of the ""radical left""",1,1,1
Latino Texas Democrats in U.S. House push back as White,0,0,1
This is something we all need to investigate for ourselves. Its a coup so dont brush it off as a conspiracy theory. youtu.be0LN65qFUDDo,0,0,1
The issue is illegal immigration you dim bulb.,1,0,0
"What precicely dont you ""wish to nobody""? Ending the holocaust? Denazification?",0,0,1
bloodless putin PutinHitler RussiaInvadedUkraine Putin,1,1,1
Iowa 2024 GOP Caucus Train Begins to Roll Without Trump,0,0,1
Kamala Harris leads efforts to promote safe AI,0,0,1
"They did learn something. Unlike the nazis, the genocidal and apartheid state of Israel learned how to get away with it.",1,1,1
The US Senate voted for NATO expansion.,0,0,1
CIA Director warned NATO expansion could trigger civil war in Ukraine,0,0,1
"Just a reminder, Andrew Breitbart no longer walks this Earth!",0,0,1
"Theyll stew themselves in multiculturalism when its safe and easy but the minute, the second, the nanosecond it becomes hard, theyll burn it all down, sweep up the ashes and repackage it to you as white simple heros journey bullshit.",1,1,1
"Football: #2 Warriors Blank #3 Gophers, Retake Throne",0,0,1
Israel says it is at war as Hamas launches surprise,0,0,1
Joe Biden to visit Arizona to tout Inflation Reduction,0,0,1
Democrats running in Oyster Bay raise ethics issues,0,0,1
"There are over 70M of us who voted for decency, harmony, multiculturalism. We live in times of evil depravity. I fear things wont end well.",1,1,1
Savagery of Hamas terrorist attacks shook me,1,0,0
"For all the NIMBYs and anti immigration folks out there, this wouldve been you!",1,1,1
Populism and nationalism disguised as patriotism.,1,1,1
Artsakh refugees not granted Armenian citizenship,0,0,1
Hiding replies after an electoral college?,0,0,1
Plenty of democrats in the military.,0,0,1
Musk discovers that joining forces with xenophobes means promoting xenophobia,1,1,1
Wisconsin Republicans hold up UWMadison enginerring,1,0,0
So voter suppression claims were all lies?,1,1,1
What did anyone expect would happen? That voting against Kamala Harris would prevent this from happening?,1,0,0
feministsky feminism liberalsky resist notgoingback fuckcapitalism capitalism,1,1,1
Just like the 60 cases of election fraud that went nowhere. It doesnt matter what the facts are. Their supporters never get past the headline.,1,1,1
Can we believe anything the IDF says?,1,1,1
"Israels enemy isnt so much members of Hamas or any other terrorist organization as anyone who identifies as Palestinian, because the entire Palestinian national identity was forged in the 1948 Nakba and has reversing that Nakba ie destroying Israel as its one and only goal.",0,1,0
Xenophobia wont trend today. Malawi,0,0,1
Zelensky is a weird cunt,1,1,1
MAGA inspired Blueprint for Canada anti woke Far RW agenda. No to bigotry and Christofascism in ldnont tvdsb,1,1,1
Immigration lawyers the next 4 years,0,0,1
Open borders for docile Indians with coding skills.,1,1,1
Biden administration prepares bln military aid package for Ukraine Reuters,0,0,1
"Early voting starts today! Make sure to cast your vote for Jimmy Patronis for Congress. JimmyPatronisForCongress""",0,0,1
"My conservative, working class family is currently reading the most hardcore, conspiracy theory, memable content for free.",0,1,0
State Police Investigating Release of Thousands of Minks,0,0,1
"At synod prayer service, pope calls for immigration reform",0,0,1
"abolish your he second amendment, fuck this shit",1,1,1
Biden got Mexico to invest in 1.5 billion for border security. What did trump get?,0,0,1
This true crime shows newest season recounts the search,0,0,1
"Mike Pence R, IN Norm Coleman R, MN",0,0,1
Early voting for the win! So easy. Everyone go vote!,0,0,1
Sheriff's Office Investigating Payne Deaths as Homicides,0,0,1
I love the diversity and multiculturalism of my home town. You meet so many great people from all walks of life.,0,0,1
What time does GOP presidential debate,0,0,1
The uncomfortable truth is that this is the real justification for the second amendment.,0,0,1
I pray impeachment charges are brought against trump that he is sent away for good!,1,1,1
Meet the New Burns Police Chief,0,0,1
Im kinda in love with Zelensky,0,0,1
im being silenced by the woke mob,1,1,1
INTRODUCING VANESSA BLINGGGG AS GAZA SLIMMMM,0,0,1
Evangelical christians are more dangerous to a stable jewish state than anyone else change my mind.,1,1,1
"Reports of Palestinian Terrorists preparing to launch attack on The IDF in Jenin, Judea and Samaria West Bank.",0,0,1
"People still on this ""stolen election"" shit.",1,1,1
"President Joe Biden announced a major opinion Friday that the Equal Rights Amendment is ratified, enshrining its protections into the Constitution, a lastminute move that some believe could pave the way to bolstering reproductive and LGBTQ rights. ERA EqualRightsAmendment",0,0,1
ProTrump Republicans beg him to reverse course on part of his immigration crackdown MSNBC,0,0,1
Early voting ends tomorrow. Elections have consequences. GoVoteNow,0,0,1
Lets Get rid of FEMA. Its a socialist plot.,1,1,1
Biden admits that defund the police democrats are wrong,1,0,0
"Donald Trump Jr., Jim Banks recall Bob Knight, promote",0,0,1
"She chose to run on xenophobia and status quo, terrible campaign.",1,1,1
RFK Jr.s independent run for president draws GOP,0,0,1
GOP legislators in Niagara County back legal effort to fight,0,0,1
Am proud to be African. MCM African imperialism,0,0,1
KAMALA HARRIS TO BE EXACT,0,0,1
I am a victim of capitalism,1,1,1
A relationship between the Apartheid state and a tiny tyrant state. Free Palestine,1,1,1
Elon Musk is a Nazi who despises the idea of multiculturalism and religious pluralism,1,1,1
This is why we keep the second amendment!!,0,0,1
This Kamala Harris bionic trailer looks dope TheBachelor,0,0,1
If Republicans sue for studentloanforgiveness then can we sue republicans ?,1,0,0
Flagstaff Police Report Change in City Crime Due to Coronavirus,0,0,1
Israeli PM Netanyahu vows to crush and destroy Hamas,0,0,1
Great Opportunity for Permanent War What if Israel Annexed the West Bank? via,0,1,0
Urgent Loud explosions in the West Bank due to rocket attacks on the center of the country.,0,0,1
Democrats still want to defund the Police,1,0,0
Geoff Duncan talks GOP 2.0 and bipartisanshipThe Red Black,0,0,1
One thing that really bothered me was that media kept calling all the swing states before counting was completed,0,0,1
"My second amendment is absolute, the Constitution says so",1,1,1
So your real problem is actually with capitalism,0,0,1
Yevgenia Albatss Lecture on Putins War,0,0,1
"Its a clever anti immigration ploy, turning the UK into an unattractive place for refugees and immigration. ToryPolicy .",1,1,1
Former MIGOP chair takes stand as fake elector hearings,0,0,1
Every accusation is a confession. Hes admitting to his recent election fraud right there.,1,1,1
Survivors of Hamas attack recount escape stories,0,0,1
Clearly the Democrats are NOT.,1,1,1
Muslim Turkey follows the sharia. Erdogan is doing populism.,0,1,0
17 political cartoons tackle Donald Trumps,0,0,1
"Free Palestine, Free every opressed person. This isnt a call.",0,1,0
Socialist at a push .. but Communist? Thankfully theyve found common ground on Palestine and made the correct decision here.,0,1,0
Belleville City Council Approves Kris Faull as Police Chief,0,0,1
Kamala Harris is just too dark to be President. And she dumb.,1,1,1
Zelensky video grips my soul !,0,0,1
"Florida GOP drops loyalty oath, giving big to Trump",0,0,1
"Most people who dont vote dont even know what the electoral college is, much less how it works.",0,0,1
Overkill war crimes whether intended or not,0,0,1
Mike Pence has no future in politics.,1,1,1
Its almost as though all media is propaganda!,1,1,1
Election fraud just occurred in Arizona. Great,1,0,0
DA Flynn Should Hope Justice Kevin Carter Disqualifies Himself,1,1,1
"You know youre advocating for ethnic cleansing, right? Thick fuck",1,1,1
"Maine shooting, IsraelHamas war, US airstrikesThe Grand Island Independent",0,0,1
"""This is another argument, if any were needed, for even stricter sanctions on the Russian economy and even more support for Ukraine in resisting Russian aggression."" .bsky.social wapo.st3ZTLs95",0,0,1
This is what corruption and propaganda looks like,1,1,1
NATO expansion on Russias border is not going with out a clap back.,0,0,1
College Democrats and College Republicans debate,0,0,1
Project2025 Trump MAGA IfTheirLipsAreMovingTheyreLying Immigration Climate DEI USAID Health FederalWork,1,1,1
Boeberts Antics Could Cost GOP a House Seat,0,0,1
Zelensky is the President of Ukraine.,0,0,1
Filipino legal luminaries on impeachment,0,0,1
Do you know what the word Zionism means?,0,0,1
Zelensky needs help! Which countries will offer it?,0,0,1
Sanctions should mean sanctions and just not soft government statements.,0,0,1
Were approaching levels of xenophobia previously unseen,1,0,0
Dietrich Bonhoeffer was a German pastor and theologian who opposed National Socialism. He was killed by the Nazis for his resistance.,0,0,1
Middle East crisis live Israel says it will maintain security control of Gaza after war IsraelGaza war,0,0,1
Only a dictator would be worried about nato expansion,0,1,0
"Former VP Mike Pence praises VP Kamala Harris for certifying election, Trumps victory WWERaw oc CharlieHebdo",0,0,1
The theme of my bat mitzvah was free palestine,1,0,0
Finest form of propaganda Ive seen in awhile.,1,0,0
"I am 100 anti immigration all they bring is anti black views, crime drugs.",1,1,1
Another casualty of the BidenHarris administrations failure! They lied for YEARS about the wide open borders!,1,1,1
I really be bout to cry every time I think about Kamala Harris,0,0,1
What do you expect from people who use children as human shields for their propaganda?,1,1,1
"Ice Storm Coats Part of North Dakota, Leads to Vehicle Accidents",0,0,1
Not just my theory on votes. But the Epstein file is just my personal conspiracy theory.,0,0,1
State GOP to convene in Norfolk Kellyanne Conway,0,0,1
launches deportation operation to Colombia using Title 42 border rule,0,0,1
Never thought Id find myself agreeing and amplifying a post from Mike Pence yet here I am. USA has lost its way. Where are the voices of reason and justice speaking out? The silence is deafening.,1,1,1
Im so glad that Joe Biden pardoned Hunter Biden. Empathy and compassion are everything in this world.,0,0,1
One of the Hamas Killers and Rapists of Shani Louk has,0,1,0
"What coup attempt? There was none, except for the election steal of 2020.",1,1,1
"HEADS UP If your birth certificate doesnt match your current legal name, you would be unable to register to vote or update your voter registration under the SAVE Act. This includes the more than 69 MILLION women in the US who changed their name after marriage.",0,0,1
"Pierre, Pierre, Pierre, sigh. Youll rail against new spending...except the 1B for border security?",1,0,0
"Multiple explosions heard over the mentioned area, one iron dome rocket reported launched gaza",0,0,1
Israeli emigration rises postHamas attack,0,0,1
"fck giving socialism farm aid to farmers they voted against government help they voted for trump and republicans, let them pull themselves up by their bootstraps",1,1,1
Kamala Harris is Fave Andetson Palmets sister,0,0,1
Age is a sore spot for Joe Biden. Heres why Bernie,0,0,1
Tim Scott blames Joe Biden for ongoing IsraelHamas,0,0,1
Evacuate red states while you can.,1,1,1
"Israelis, Jews Around the World Told to Be Vigilant Today",0,0,1
This is defence? The key aim is ethnic cleansing. Israeli state policy.,1,1,1
Based Ryukishi acknowledging Japans war crimes,0,0,1
Not imperialism? Or are they the same?,0,0,1
"Like, where tf is our insurrection? I was thinking bring back drawing and quartering traitors?",1,1,1
Strictest asylum regime ever Dutch cabinet agrees new measures to limit asylum seekers,0,0,1
I hate the Apartheid State of Israel.,1,1,1
A Jewish state was created because no one else wanted them. This is why. Zionism and Naziism are the same disease.,1,1,1
Then stop your puppet Ukrainian Nazis from shelling Zaporozhie NPP,1,1,1
"Sometimes, history change with some flow. Eg. Ukraine invasion by Russia.",0,0,1
Car slams into parked SUV protecting Joe Bidens,0,0,1
"I mean he even apologized for calling Israel an apartheid state, so even that didnt rate in the long run.",0,0,1
Its xenophobia all the way down,0,1,0
Reminds me of all the vetos on Israel operating an apartheid state.,0,1,0
A federal election fraud felony conviction!,0,0,1
The xenophobia and social anxiety from it now are CRAZY,0,1,0
YELLEN WILL ACT FURTHER IF RUSSIA FURTHERS UKRAINE INVASION SPY QQQ,1,0,0
Its populism Dan. The same populism that the confused sex yeti and his minions parroted to get Brexit done.,1,1,1
FUCK DONALD TRUMP TO DEATH!!!,1,1,1
the real imperialism is ukraine occupying donbass,1,1,1
"Oh, did I mention the imperialism?",0,0,1
"I hope when things really get bad, Congress will consider an impeachment.",0,0,1
Logan and Hyrum City General Election recount resultsThe Herald,0,0,1
Are the sanctions beginning to take effect?,0,0,1
AMERICANS MUST TAKE TO THE STREETS IN SUPPORT OF ALL MILITARY AID TO THE UKRAINIANS!,1,0,0
Kamala Harris and them damn busses,0,1,0
This is nationalism it is nothing less and never should be called Christianity ! These politicians have coopted Jesus teachings. Truly disgusting,1,1,1
Yep! Open borders High crime rates Inflation Food shortages,1,1,1
No more Spaces? Sad Thanks woke mob,1,1,1
Party for Socialism and Liberation holds demonstrations for,0,0,1
Not when it comes to the radical left.,1,0,0
"With ousted Lexington County chair calling foul, state GOP",0,0,1
Hunter Biden accuses Republicans of weaponizing his drug addiction in rare op-ed,0,0,1
Loser refugees. Got thrown around like paper,1,1,1
The media was really out here trying to manifest an insurrection pt 2,1,1,1
Red states kill their own voters by rejecting Obamacare.,1,1,1
NATO has taken over coordination of Western military aid to Ukraine from the U.S. A blatant and necessary move to safeguard the support mechanism from Trump..,0,0,1
CNN turned to CNN very quickly.,0,0,1
The Israeli Defense Force says a single projectile was detected and intercepted by the Iron Dome aerial defense system.,0,0,1
Former Israeli consul in NY criticizes liberal American JewsThe Forward,0,0,1
Nationalism is just another word for Xenophobia. racism Xenophobia notoborders,1,1,1
"Democrats ""Were not bad at messaging"" also Democrats",0,0,1
Kamala Harris coming to SeattleNorthwest Asian,0,0,1
Merry Christmas thx for the open borders.,0,0,1
Parish Unveils Plans to Open New West Bank Spray Park,0,0,1
BH Hes making enemies of the entire region whod have taken us as asylum seekers Fucking w Mexico Canada Were being sealed in,1,1,1
Buy a Tesla support socialist state handouts!,1,1,1
Florida Democrats seek investigation into Sen Tom,0,0,1
The Donald Trump mug shotDelta Democrat,0,0,1
Yes. Israel is an apartheid state. Theres the lie.,1,1,1
OSG in Tampa seeks immigration reform to fill,0,0,1
Grant May Lead to Nonstop Service from Tri-Cities Airport,0,0,1
President Michael D. Higgins last Christmas message Silence conferring impunity on those flagrantly inflicting collective punishment,0,1,0
This the voter fraud you seek??,0,1,0
Capitalism is siphoning my energy,0,1,0
Donald Trump Mugshot Never heard that at Wharton,0,0,1
Breaking Zelensky claims that all major cities of Ukraine are blocked Zelensky RussiaUkraine,0,0,1
Germanbuilt boat sanctions no spare parts.,0,0,1
"Yeah, some IDF are indistinguishable from them.",1,0,0
Vandals spraypaint demands for Gaza ceasefire on U.S,0,0,1
Democrats Bardi and Biront vow to grow Roselands sense,0,0,1
theres a woke mob outside my home demanding i show hole on the tl,0,1,0
I hope gives Ukraine everything they need to fight back Russian aggression.,1,0,0
Thank you! Now lets work on impeachment and arrestingdeporting Musl and his minions,1,1,1
Distracted Joe Biden is not good,0,1,0
Fck Joe Biden! Arrest JOE BIDEN FOR TREASON!,1,1,1
i committed war crimes in,1,0,0
"When even Chip Roy thinks that the GOP has gone too far, thats a sign that the GOP is in freefall.",0,1,0
What is happening between Israel and Hamas?,0,0,1
Why Trump Nation voters ignored the lies of Fox NewsBergen Record,1,1,1
"Deterrence border security. America can do better, and we must.",0,0,1
"Ken Paxton will not testify at impeachment trial, defense",0,0,1
denazification is code for depopulation of all citizens,1,1,1
"Thank you President Biden!! Border security is working, fentanyl intercepted!",0,0,1
"Vivek Ramaswamy attacks U.S. aid to Ukraine, claiming it pushes Russia toward China, while ignoring the real threat of Russian aggression. He hides behind ""America First"" rhetoric to justify abandoning allies and appeasing dictators",1,1,1
because Depp is deep state.,1,1,1
Theyll blame it all the Democrats,0,1,0
Joe Biden makes emergency weapons to Israel,0,0,1
Florida GOP chairman Christian Ziegler wont resign,0,0,1
and Russia should compensate Ukraines allies for the cost of the military aid they have provided Ukraine.,1,0,0
"GeNdEr iDeOLoGy, the radical idea that women are people",1,1,1
The price America paid for its first big immigration crackdown Planet Money,0,0,1
It was a coup attempt. Now its a coup attempt plus a coverup. They all need to be prosecuted.,1,1,1
good morning heres your not so friendly reminder that jameela liked proisraelantipalestine posts and made the ethnic cleansing about her,1,1,1
Ann Arbor community members protest in of Israeli,0,0,1
Sacred Heart University gather for ceasefire in Gaza,0,0,1
Im having a hard time deciphering between The Onion and Fox News nowadays,1,0,0
"Five Officers Injured at Auburn Correctional Facility, NYSCOPBA Reports",0,0,1
The only thing we get from them is oil and election interference. They have the GDP of Iowa. No loss to us. Buh bye.,1,1,1
Early voting ends at 3PM today.,0,0,1
What genocide? Only genocide against Muslim people are white people.,1,1,1
Shame to those people who adored Xian Gaza,0,1,0
AntiSemites Why didnt Israel give Iron Dome to the Academy to protect Chris Rock?,1,1,1
"Another calendar year, televised, genocide, for, your, entertainment najwahab.substack.compgenocide Palestine Israel America Lebanon Genocide Substack Christmas NewYear",1,0,0
House GOP members may expel Matt Gaetz if ethics,0,0,1
Election Day as national holiday. Automatic voter registration...,0,0,1
Fox News hourlong special revisits border security as midterms approach,0,0,1
Any reason why LEGAL immigration isnt what were fighting for?,0,0,1
donald trump is a white supremacist.,1,1,1
"Democrats flip red, Republicans flip blue on Ukraine. Is it",0,0,1
Ok now Im thoroughly convinced. Defund the police.,1,1,1
zelensky sign up with putin!,1,0,0
"What even is ""progressive populism""? Socialism stops fascism, without exceptions.",1,1,1
Voters give Bidenomics a failing grade in latest,0,0,1
"I mean, the Democrats have been using the ""cheap labor"" argument to support illegal immigration.",1,1,1
"Texas governor tweets fake news of Garth Brooks, country",0,0,1
Peter Meijer would second term for Donald TrumpMidland Daily,0,0,1
Donald Trump is a 34 count convicted felon Donald Trump is a 34 count convicted felon Donald Trump is a 34 count convicted felon Donald Trump is a 34 count convicted felon Donald Trump is a 34 count convicted felon Donald Trump is a 34 count convicted felon,1,1,1
Imperialism is bad. War is bad. Goodnight.,0,0,1
"If you can participate in an insurrection and not have to suffer any consequences, then I dont need to pay my taxes.",1,1,1
Heres a source documenting zionists in the west bank.,0,0,1
Legal immigration is fine. Illegal immigration is wrong.,0,1,0
"""Satellite images confirm civilian massacres in towns during Russian military occupation""?",1,0,0
is defending imperialism in the dnd chat,0,0,1
Idaho joins move against woke capitalismThe Lewiston,0,0,1
Ron DeSantis knocks Donald Trump as keyboard warrior,0,0,1
"Milwaukee Palestinian, Israeli officials outraged over war",0,0,1
Thanks for your comments and perspectives. Question whether any of the victims of the J6 insurrection canwill file civil suits against their attackers?,0,0,1
Anyone who calls it something else is wrong. It was an insurrection. It was violent. It was wrong.,1,1,1
College of Letters and Sciences hosts panel recounting,0,0,1
A woke mob created the conditions and founded this country.,1,1,1
Msnbc is nothing but leftwing propaganda.,1,1,1
States have no authority in immigration or border security. Abbott is just a racist,1,1,1
Dear Gov Newsome Please can we cut off all monies sent to the government and all red states?,1,1,1
Donald Trump Attacks President Biden on Foreign Policy,0,0,1
"Special election in Florida counties Escambia, Okaloosa, Santa Rosa, and a part of Walton Matt Gaetz vacated seat in the House is up for a vote Help dems hit the breaks on Trumps harmful policies and flip this seat blue Early voting 32229 Election Day 4125 flipthehouse specialelection",0,0,1
"This is the very essence of Trumpism. If you deny facts, hide facts, and refuse to see facts, then it doesnt exist.",1,1,1
Is FAMUs precinct still open for early voting?,0,0,1
Ya well Lindsey said Trumps insurrection was too much too then stuck his head right back up Trumps fat orange ass.,1,1,1
How populism is surviving Project Fear,0,0,1
Reparations for globalization and capitalism,0,0,1
Thats how we Democrats treat asylum seekers.,1,1,1
Dont forget about them wanting bodies to draft into the military. The rich want plenty of human shields to protect them.,1,1,1
"Sanctions, you say? Over the 2024 Election interference, you say? Heres to 3 months of explaining to MAGA how sanctions",0,1,0
Liberals are snakes with shifting beliefs. How do you a complete 180 on border security?,1,1,1
Students protest Tufts Israeli investments during TCU,0,0,1
Please stop saying Ultra MAGA. MAGA is sufficient.,0,1,0
Complaint Alleges Staff At Center Holding Asylum Seekers in New Mexico Deal Drugs at The Facility,0,0,1
"The Biden administration is spearheading NATO expansion efforts into Ukraine, and selling it to the audience as dream and fantasy.",0,1,0
"This is our border security, were waiting for the fat fascist whenever hes ready.",1,1,1
Boyfriend from FNF did War Crimes,0,1,0
Kamala Harris should have won.,0,0,1
Antisemitic propaganda group Goyem TV relocates,0,1,0
Chipley Garden Club Installs New Officers,0,0,1
Still playing with this. I am now following Rachel Maddie from msnbc.,0,0,1
"The Abortion issue was a plan leak , its all part of a liberal agenda ! Dont buy the radical lefts bullshit",1,1,1
You forgot pedophiles. Theyre prolifically entrenched within religious institutions. Antiabortion laws combined with Christian nationalism equals mass pedophilia.,1,1,1
how is this not the election fraud ?,0,1,0
Why would President Zelensky speak Nazi?,1,1,1
Return the stolen election to the person who actually won it.,1,1,1
Colorado Supreme Court ruling in Donald Trump ballot,0,0,1
"""snowflake, sjw, woke"" what if i bash my head against the wall",1,1,1
"Are they welcoming their new allies? Sympathetic lesbians and gays out, fascists and conservative values in?",1,1,1
Dooly Sheriff's Office Colonel Lonnie Haugabrook Recognized,0,0,1
STOLEN ELECTION!! AGAIN!! LET THE WAR BEGIN,1,1,1
Democrats want to raise your taxes while still sending billions to corrupt Ukrainian Nazis. Let that sink in.,1,1,1
"The most damning indictment against Russia isnt actually the Ukraine invasion, its their love of Steven Seagal",0,1,0
Im a democratic socialist just a socialist,0,0,1
Gun Control doesnt exist btw,0,0,1
IDF ground forces take over Hamas stronghold in northern,0,0,1
Missouri GOP to choose presidential pick by caucus,0,0,1
"But, but, theyre conscientious objectors to ethnic cleansing genocide.",0,1,0
Kharkiv feeling a little gaza now Kharkiv,0,0,1
"Ukraines Foreign Minister Andrii Sybiha is in Damascus. May Ukrainians celebrate liberation from Russian aggression soon, as Syrians finally have. SlavaUkraini",0,0,1
Take their natural resourcesthe ultimate in imperialism,0,1,0
"Colorado Republicans praise, Democrats slam U.S. House",0,0,1
Two stories from the Israeli frontline,0,0,1
Contact your Representative. Fight Voter Suppression. resist votersuppression winterboots act.aclu.orgasaveact,1,0,0
1. Attorney General who didnt show up for work. 2. Supreme Court packed by the guy who led the insurrection.,1,1,1
UN TimorLeste News December 2024 Refugees,0,0,1
REMINDER 4 ALL MY TX MUTUALS early voting ends on the 4th,0,0,1
BREAKING Iran and Sri Lanka reach agreement for 29day ceasefire.,0,0,1
"fact Education, border security top list of priorities for Texas House District 14",0,0,1
